ID,Русский ,Deutsch,English 
1.0,как,wie,how
,называться,heißen,to be called
,ты,du,you
,я,ich,I
,кто,wer,who
,быть,sein,to be
,привет,Hallo,hello
,ах,ah,ah
,алфавит,das Alphabet,alphabet
,извините,Entschuldigung,sorry
,спасибо,Danke,thank you
,мой,mein,my
,имя,der Name,name
,имя,der Vorname,first name
,фамилия,der Familienname,last name
,как дела,wie geht's,how are you
,тебе,dir,you
,отмечать крестиком,ankreuzen,to mark with a cross
,отлично,super,great
,очень хорошо,sehr gut,very good
,хорошо,gut,good
,нормально,es geht,not too bad
,не очень,nicht so gut,not so well
,тоже,auch,also
,откуда,woher,where from
,приходить,kommen,to come
,из,aus,from
,это,das,this / that
,учить,lernen,to learn
,она,sie,she
,он,er,he
,Эритрея,Eritrea,Eritrea
,Германия,Deutschland,Germany
,Швейцария,die Schweiz,Switzerland
,пока,tschüs,bye
,до свидания,Auf Wiedersehen,goodbye
,музыка,die Musik,music
,страна,das Land,country
,Турция,die Türkei,Turkey
,Испания,Spanien,Spain
,Франция,Frankreich,France
,Австрия,Österreich,Austria
,США,die USA,USA
,информация,die Information,information
,известная личность,die Persönlichkeit,celebrity
,Южная Африка,Südafrika,South Africa
,произносить по буквам,buchstabieren,to spell
,добрый день,Guten Tag,good day
,доброе утро,Guten Morgen,good morning
,добрый вечер,Guten Abend,good evening
,спокойной ночи,Gute Nacht,good night
,Вы,Sie,you (formal)
,господин,der Herr,Mr.
,госпожа,die Frau,Mrs. / Ms.
,разговор,das Gespräch,conversation
,бросать,werfen,to throw
,монета,die Münze,coin
,тест,der Test,test
,экспресс-тест,der Schnelltest,rapid test
2.0,год,das Jahr,year
,старый,alt,old
,женат / замужем,verheiratet,married
,иметь,haben,to have
,ребёнок,das Kind,child
,никакой / нет,kein,"no, not any"
,жить (проживать),wohnen,to live
,в,in,in
,интервью,das Interview,interview
,партнёр,der Partner,partner
,партнёрша,die Partnerin,partner
,вы (мн.ч.),ihr,you (plural)
,мы,wir,we
,жить вместе,zusammenleben,to live together
,да,ja,yes
,но,aber,but
,где,wo,where
,они,sie,they
,предложение,der Satz,sentence
,правильный,richtig,correct
,точка,der Punkt,point
,загадка,das Rätsel,riddle
,неправильный,falsch,wrong
,что,was,what
,минус,minus,minus
,плюс,plus,plus
,разведённый,geschieden,divorced
,одинокий человек,der Single,single person
,один,allein,alone
,делать,machen,to do
,"профессия, работа",der Beruf,profession
,работать,arbeiten,to work
,"как, в качестве",als,as
,"в, у",bei,at
,фирма,die Firma,company
,работа,der Job,job
,парикмахер,der Friseur,hairdresser
,официант,der Kellner,waiter
,большое спасибо,vielen Dank,thank you very much
,"для, за",für,for
,число,die Zahl,number
,инженер,der Ingenieur,engineer
,студент,der Student,university student
,журналист,der Journalist,journalist
,архитектор,der Architekt,architect
,медсестра,die Krankenschwester,nurse
,животное,das Tier,animal
,ветеринар,der Tierarzt,veterinarian
,актёр,der Schauspieler,actor
,певец,der Sänger,singer
,опера,die Oper,opera
,врач,der Arzt,doctor
,учитель,der Lehrer,teacher
,продавец,der Verkäufer,shop assistant
,готовый,fertig,finished
,собирать,sammeln,to collect
,больше,mehr,more
,должность,die Stelle,position
,учиться,studieren,to study
,школьник,der Schüler,school student
,пенсионер,der Rentner,pensioner
,образование,die Ausbildung,training
,стажировка,das Praktikum,internship
,момент,der Moment,moment
,сейчас,jetzt,now
,происхождение,die Herkunft,origin
,место жительства,der Wohnort,place of residence
,возраст,das Alter,age
,семейное положение,der Familienstand,marital status
,учёба,das Studium,studies
,текст,der Text,text
,Мексика,Mexiko,Mexico
,Португалия,Portugal,Portugal
3.0,семья,die Familie,family
,мать,die Mutter,mother
,отец,der Vater,father
,сестра,die Schwester,sister
,верить,glauben,to believe
,дядя,der Onkel,uncle
,бабушка,die Oma,grandma
,внук / внучка,das Enkelkind,grandchild
,родители,die Eltern,parents
,сын,der Sohn,son
,дочь,die Tochter,daughter
,брат,der Bruder,brother
,братья и сёстры,die Geschwister,siblings
,дедушка,der Großvater,grandfather
,бабушка,die Großmutter,grandmother
,твой,dein,your
,бабушка и дедушка,die Großeltern,grandparents
,внук,der Enkel,grandson
,внучка,die Enkelin,granddaughter
,муж,der Ehemann,husband
,жена,die Ehefrau,wife
,родственник,der Verwandte,relative
,родственница,die Verwandte,relative
,тётя,die Tante,aunt
,планировать,planen,to plan
,праздник,das Fest,celebration
,список,die Liste,list
,нет,nein,no
,наоборот / всё-таки,doch,yes (contradiction)
,Польша,Polen,Poland
,мужчина,der Mann,man
,анкета,der Steckbrief,profile
,письмо,der Brief,letter
,член (организации),das Mitglied,member
,испанский,Spanisch,Spanish
,английский,Englisch,English
,русский,Russisch,Russian
,китайский,Chinesisch,Chinese
,польский,Polnisch,Polish
,французский,Französisch,French
,итальянский,Italienisch,Italian
,турецкий,Türkisch,Turkish
,немецкий,Deutsch,German
,какой,welche,which
,язык,die Sprache,language
,говорить,sprechen,to speak
,немного,ein bisschen,a little bit
,совсем не,gar nicht,not at all
4.0,дома,zu Hause,at home
,магазин,das Geschäft,shop
,мебель,die Möbel,furniture
,картина,das Bild,picture
